episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg
200, 9950, -22.954773869346734, -0.5226130653266332, -11.855577889447241
400, 19950, -23.39, -0.51, -12.087699999999993
600, 29950, -22.73, -0.5, -11.718500000000006
800, 39950, -22.595, -0.485, -11.758099999999999
1000, 49950, -23.015, -0.525, -11.920999999999994
1200, 59950, -13.155, -0.25, -6.742000000000001
1400, 69950, -0.025, 0.0, -0.0113
1600, 79950, 0.0, 0.0, 0.0
1800, 89950, -0.005, 0.0, -0.0039000000000000003
2000, 99950, -0.005, 0.0, -0.0008
2200, 109950, -0.005, 0.0, -0.0037
2400, 119950, -0.01, 0.0, -0.0060999999999999995
2600, 129950, -0.005, 0.0, -0.0042
2800, 139950, -0.01, 0.0, -0.0057
3000, 149950, -0.01, -0.005, -0.0086
3200, 159950, 0.0, 0.0, 0.0
3400, 169950, 0.0, 0.0, 0.0
3600, 179950, 0.0, 0.0, 0.0
3800, 189950, 0.0, 0.0, 0.0
4000, 199950, 0.0, 0.0, 0.0
4200, 209950, 0.0, 0.0, 0.0
4400, 219950, 0.0, 0.0, 0.0
4600, 229950, 0.0, 0.0, 0.0
4800, 239950, 0.0, 0.0, 0.0
5000, 249950, -0.01, 0.0, -0.008100000000000001
5200, 259950, -0.005, 0.0, -0.0034999999999999996
5400, 269950, 0.0, 0.0, 0.0
5600, 279950, 0.0, 0.0, 0.0
5800, 289950, -0.005, 0.0, -0.0008
6000, 299950, -0.005, 0.0, -0.0038
6200, 309950, 0.0, 0.0, 0.0
6400, 319950, 0.0, 0.0, 0.0
6600, 329950, 0.0, 0.0, 0.0
6800, 339950, -0.005, 0.0, -0.0038
7000, 349950, 0.0, 0.0, 0.0
7200, 359950, -0.005, 0.0, -0.0024
7400, 369950, -0.005, 0.0, -0.0038
7600, 379950, 0.0, 0.0, 0.0
7800, 389950, -0.005, 0.0, -0.0043
8000, 399950, -0.005, 0.0, -0.0001
8200, 409950, 0.0, 0.0, 0.0
8400, 419950, 0.0, 0.0, 0.0
8600, 429950, -0.005, 0.0, -0.0025
8800, 439950, 0.0, 0.0, 0.0
9000, 449950, 0.0, 0.0, 0.0
9200, 459950, 0.0, 0.0, 0.0
9400, 469950, 0.0, 0.0, 0.0
9600, 479950, 0.0, 0.0, 0.0
9800, 489950, 0.0, 0.0, 0.0
10000, 499950, -0.005, 0.0, -0.0017000000000000001
