episode,step,agent0_rew
200, 9950, -140.12547824590567
400, 19950, -134.86782884927007
600, 29950, -138.4468394529589
800, 39950, -137.92969712074114
1000, 49950, -131.45884321400266
1200, 59950, -136.0100279093477
1400, 69950, -80.81791234342903
1600, 79950, -62.26264949799077
1800, 89950, -68.80910184895782
2000, 99950, -67.71754827967692
2200, 109950, -65.29398732163345
2400, 119950, -66.97230603644466
2600, 129950, -69.59773407740099
2800, 139950, -64.2298960895853
3000, 149950, -70.22614124316928
3200, 159950, -69.06912488282067
3400, 169950, -67.82132717034212
3600, 179950, -64.03126238182402
3800, 189950, -64.89965249043983
4000, 199950, -62.634762367636974
4200, 209950, -68.4243786194916
4400, 219950, -62.49503222838652
4600, 229950, -73.69219570171019
4800, 239950, -66.9116399619298
5000, 249950, -61.498468836833325
5200, 259950, -66.56358190290067
5400, 269950, -64.15569314615486
5600, 279950, -69.8552413007894
5800, 289950, -70.4555817851854
6000, 299950, -67.31432180788126
6200, 309950, -78.41740607620808
6400, 319950, -74.2938949427433
6600, 329950, -72.43058614470061
6800, 339950, -58.77371238131946
7000, 349950, -67.86602289312513
7200, 359950, -65.36583447038602
7400, 369950, -79.23805971968648
7600, 379950, -66.13810484467291
7800, 389950, -60.73289495937668
8000, 399950, -69.17120479938967
8200, 409950, -65.27529952733423
8400, 419950, -64.00273141618989
8600, 429950, -71.38717612639006
8800, 439950, -64.96941321781617
9000, 449950, -65.68814802821285
9200, 459950, -63.549441114035375
9400, 469950, -59.59819311568729
9600, 479950, -63.702835266900095
9800, 489950, -65.09570778530505
10000, 499950, -62.55155769093146
