step, agent0_rew, agent1_rew, agent2_rew, agent3_rew, agent4_rew, agent5_rew
1000, -4.395464434740346, -5.509495567857852, -4.520265454659207, -7.451128901614382, -901.6266588362859, -423.7662808700077
2000, -7.635259918715244, -3.861186097135908, -4.182296153327721, 0.3502067174500635, -141.8529947716216, -143.49553434081975
3000, 20.734853877617592, 21.34103664131056, 22.0827788091869, 18.813204859835313, -13.768652798043236, -5.4589465574768195
4000, 27.430848789926703, 27.66980352880897, 26.535435694086708, 26.34560934585933, -16.812786325134212, -9.213491602667379
5000, 33.251899036402946, 33.69469311434611, 33.418467402090364, 33.3387075991029, -12.810026421155795, -15.086640077019986
6000, 30.89553266404041, 30.484197253260348, 30.64062637150889, 30.35555363088178, -21.806592399018037, -7.091914988615339
7000, 29.428357860047274, 28.79443286866894, 29.35402614895314, 28.706147007606166, -18.094576234329733, -9.196461649882227
8000, 32.89659846492963, 31.870281174714997, 32.35570579950132, 31.88160563577014, -22.819726578378212, -14.128073209010541
9000, 35.11883296998522, 34.724149976123094, 35.11262365909578, 34.87492348267553, -19.512488770792842, -14.790777852086597
10000, 37.77217831615276, 37.776199352309256, 37.56574084949988, 37.59086318191792, -18.560056262392646, -13.76348943825434
11000, 28.581671226921927, 28.620734777855077, 28.30787944703829, 28.661663831936977, -15.93995258532035, -17.079394204453322
12000, 26.636976882202337, 26.694254418213152, 26.400825466830124, 26.451987692615646, -20.64518049429347, -17.65284006324232
13000, 18.58065125744666, 18.78780563766432, 18.826755502442502, 18.358395238550997, -14.244746855179445, -13.533351643890326
14000, 20.664808444979105, 20.72331189492704, 20.618626383582573, 20.263320987181505, -13.802695689354888, -24.245987034005072
15000, 20.199486099047483, 19.652652637017308, 20.274672551021656, 18.50220711000598, -16.737268222220152, -16.380448489314425
16000, 16.178874841949526, 15.384571683423644, 15.736880174347888, 15.064216445790098, -12.18163884225786, -9.405712165890305
17000, 21.955166122901485, 20.313891928119745, 17.20434272317186, 19.762505403806742, -20.480685240607446, -7.376047095095252
18000, 27.44286352276634, 23.436993875783095, 23.807586437779342, 23.930142394959592, -29.357481960272082, -6.000202768609776
19000, 27.4119837152106, 24.0012826144149, 23.80565830289281, 23.973194663945012, -27.81061659332378, -7.246722247833735
20000, 28.538349932647005, 26.732082700779056, 22.712247536837342, 24.30540885188566, -32.11076398397441, -4.577949186456382
21000, 25.143199602939518, 24.32333618997573, 21.159710074463764, 23.399376291356504, -16.604651418036752, -10.88723527283511
22000, 29.997783510915504, 30.313943693551327, 28.78764800339144, 30.78486003347748, -15.595191484919374, -18.277400949066553
23000, 39.0103614974896, 40.6348797349152, 41.03768640779628, 41.387740935683745, -15.992973999204533, -27.089753919130377
24000, 84.90647381855396, 87.4672802238841, 88.32670509060969, 87.45689706501237, -13.299224979387702, -77.43182314502437
25000, 65.14035103241586, 65.01239377169308, 65.73005636543252, 65.64366224521385, -14.499598718919303, -50.00489314967117
26000, 57.975916279889866, 58.50689647849083, 57.67948277766821, 57.04053694719284, -27.476719959243827, -34.561721870064694
27000, 78.90012947609169, 81.342030992864, 79.62112285450428, 78.89984932665905, -63.75500651973849, -34.23853128870236
28000, 134.9370028262556, 136.58110490351973, 134.8488361087604, 132.35783570479194, -108.44046105181874, -31.45827598542548
29000, 169.984600829102, 170.75142863283162, 169.59637314332102, 167.6078745973083, -130.97110710151392, -36.827316781108124
30000, 107.41933304462651, 106.88962075341344, 106.17842167361474, 105.19101956382642, -84.90424418001412, -29.464928179698976
31000, 97.95620979068768, 97.07109683306587, 96.17826648976391, 95.84208016016171, -93.91391453022307, -21.470745454545327
