episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg
200, 9950, -24.668341708542712, -0.47738693467336685, -12.549145728643214
400, 19950, -24.875, -0.425, -12.731900000000001
600, 29950, -25.12, -0.49, -12.8245
800, 39950, -24.93, -0.48, -12.677499999999998
1000, 49950, -24.275, -0.43, -12.418600000000001
1200, 59950, -22.725, -0.475, -11.67869999999999
1400, 69950, -17.07, -0.285, -8.8118
1600, 79950, -28.96, -0.67, -15.031299999999998
1800, 89950, -33.36, -0.72, -17.02919999999999
2000, 99950, -39.93, -0.955, -20.45179999999999
2200, 109950, -44.045, -0.98, -22.345399999999998
2400, 119950, -42.815, -1.0, -21.915099999999992
2600, 129950, -46.46, -1.0, -23.448399999999996
2800, 139950, -48.03, -1.0, -24.411499999999982
3000, 149950, -47.54, -1.0, -24.238900000000005
3200, 159950, -48.865, -1.0, -24.81490000000001
3400, 169950, -48.155, -1.0, -24.47170000000001
3600, 179950, -48.995, -1.0, -25.039599999999997
3800, 189950, -48.555, -1.0, -24.756200000000003
4000, 199950, -48.62, -1.0, -24.696699999999982
4200, 209950, -47.58, -1.0, -23.9433
4400, 219950, -48.685, -1.0, -24.693
4600, 229950, -48.125, -1.0, -24.246600000000015
4800, 239950, -47.275, -1.0, -23.74179999999999
5000, 249950, -46.465, -1.0, -23.2421
5200, 259950, -47.865, -1.0, -24.13650000000001
5400, 269950, -47.725, -1.0, -23.916
5600, 279950, -46.855, -1.0, -23.62090000000001
5800, 289950, -47.94, -1.0, -24.173099999999998
6000, 299950, -48.115, -1.0, -24.318399999999997
6200, 309950, -46.22, -1.0, -23.233100000000015
6400, 319950, -47.425, -1.0, -23.8386
6600, 329950, -47.705, -1.0, -23.956599999999995
6800, 339950, -48.03, -1.0, -24.262200000000007
7000, 349950, -47.245, -1.0, -23.73190000000001
7200, 359950, -46.725, -1.0, -23.290700000000005
7400, 369950, -47.815, -1.0, -24.076500000000006
7600, 379950, -47.395, -1.0, -23.865500000000008
7800, 389950, -47.665, -1.0, -24.05560000000001
8000, 399950, -47.98, -1.0, -24.164699999999996
8200, 409950, -47.335, -1.0, -23.7636
8400, 419950, -47.885, -1.0, -24.144699999999993
8600, 429950, -48.225, -1.0, -24.365999999999996
8800, 439950, -47.99, -1.0, -24.230800000000002
9000, 449950, -47.78, -1.0, -23.998199999999997
9200, 459950, -47.845, -1.0, -24.07849999999999
9400, 469950, -48.61, -1.0, -24.593299999999996
9600, 479950, -48.91, -1.0, -24.767200000000006
9800, 489950, -49.195, -1.0, -24.913799999999995
10000, 499950, -48.775, -1.0, -24.6572
