episode,step,agent0_rew
200, 9950, -68.07066304265935
400, 19950, -69.89809397492466
600, 29950, -67.29614135637726
800, 39950, -76.38493509204417
1000, 49950, -72.90361515943688
1200, 59950, -182.66407952868278
1400, 69950, -181.0679204612378
1600, 79950, -86.22166078009275
1800, 89950, -56.31407053469342
2000, 99950, -48.59646391970098
2200, 109950, -36.41725705852728
2400, 119950, -43.161367121626206
2600, 129950, -35.908331263903584
2800, 139950, -37.82719817532529
3000, 149950, -41.87562948720399
3200, 159950, -35.65149124242887
3400, 169950, -35.26599455645794
3600, 179950, -37.3620222683031
3800, 189950, -29.823589398673665
4000, 199950, -30.452859467881062
4200, 209950, -27.76625190838516
4400, 219950, -24.473256285894454
4600, 229950, -25.56245098132394
4800, 239950, -28.69411932839648
5000, 249950, -30.107458116389722
5200, 259950, -30.60097084044737
5400, 269950, -27.40634543406938
5600, 279950, -31.84879059739076
5800, 289950, -25.707284725814407
6000, 299950, -25.709618694859373
6200, 309950, -27.714824194404883
6400, 319950, -22.094782369925568
6600, 329950, -20.42326812558312
6800, 339950, -26.707600867462098
7000, 349950, -25.733509790977852
7200, 359950, -24.439769861964727
7400, 369950, -28.849009589139044
7600, 379950, -24.393101614098494
7800, 389950, -26.15111396256772
8000, 399950, -22.99514327062651
8200, 409950, -25.21621036656484
8400, 419950, -23.274500105416923
8600, 429950, -27.90270005464271
8800, 439950, -28.328970647166205
9000, 449950, -28.064465830573535
9200, 459950, -24.393506455081642
9400, 469950, -21.451267374103818
9600, 479950, -25.187811587957796
9800, 489950, -20.047827508876168
10000, 499950, -24.97561871679279
