a0_to_a1,a0_to_a2,a1_to_a0,a1_to_a2,a2_to_a0,a2_to_a1,episode,step
B,B,_,_,_,_,1,0
B,B,_,_,_,_,1,1
B,B,_,_,_,_,1,2
B,B,_,_,_,_,1,3
B,B,_,_,_,_,1,4
B,B,_,_,_,_,1,5
B,B,_,_,_,_,1,6
C,C,_,_,_,_,1,7
C,C,_,_,_,_,1,8
D,D,_,_,_,_,1,9
D,D,_,_,_,_,1,10
A,A,_,_,_,_,1,11
A,A,_,_,_,_,1,12
F,F,_,_,_,_,1,13
F,F,_,_,_,_,1,14
B,B,_,_,_,_,1,15
E,E,_,_,_,_,1,16
C,C,_,_,_,_,1,17
C,C,_,_,_,_,1,18
D,D,_,_,_,_,1,19
D,D,_,_,_,_,1,20
A,A,_,_,_,_,1,21
F,F,_,_,_,_,1,22
F,F,_,_,_,_,1,23
B,B,_,_,_,_,1,24
B,B,_,_,_,_,1,25
E,E,_,_,_,_,1,26
E,E,_,_,_,_,1,27
A,A,_,_,_,_,1,28
A,A,_,_,_,_,1,29
A,A,_,_,_,_,1,30
B,B,_,_,_,_,1,31
B,B,_,_,_,_,1,32
B,B,_,_,_,_,1,33
C,C,_,_,_,_,1,34
C,C,_,_,_,_,1,35
E,E,_,_,_,_,1,36
A,A,_,_,_,_,1,37
A,A,_,_,_,_,1,38
A,A,_,_,_,_,1,39
E,E,_,_,_,_,1,40
B,B,_,_,_,_,1,41
B,B,_,_,_,_,1,42
B,B,_,_,_,_,1,43
F,F,_,_,_,_,1,44
F,F,_,_,_,_,1,45
C,C,_,_,_,_,1,46
A,A,_,_,_,_,1,47
A,A,_,_,_,_,1,48
_,_,_,_,_,_,2,0
B,B,_,_,_,_,2,1
B,B,_,_,_,_,2,2
B,B,_,_,_,_,2,3
C,C,_,_,_,_,2,4
C,C,_,_,_,_,2,5
C,C,_,_,_,_,2,6
C,C,_,_,_,_,2,7
C,C,_,_,_,_,2,8
B,B,_,_,_,_,2,9
B,B,_,_,_,_,2,10
B,B,_,_,_,_,2,11
C,C,_,_,_,_,2,12
A,A,_,_,_,_,2,13
A,A,_,_,_,_,2,14
E,E,_,_,_,_,2,15
E,E,_,_,_,_,2,16
E,E,_,_,_,_,2,17
C,C,_,_,_,_,2,18
C,C,_,_,_,_,2,19
B,B,_,_,_,_,2,20
B,B,_,_,_,_,2,21
A,A,_,_,_,_,2,22
A,A,_,_,_,_,2,23
A,A,_,_,_,_,2,24
B,B,_,_,_,_,2,25
B,B,_,_,_,_,2,26
C,C,_,_,_,_,2,27
C,C,_,_,_,_,2,28
E,E,_,_,_,_,2,29
E,E,_,_,_,_,2,30
A,A,_,_,_,_,2,31
A,A,_,_,_,_,2,32
B,B,_,_,_,_,2,33
B,B,_,_,_,_,2,34
B,B,_,_,_,_,2,35
F,F,_,_,_,_,2,36
E,E,_,_,_,_,2,37
E,E,_,_,_,_,2,38
A,A,_,_,_,_,2,39
C,C,_,_,_,_,2,40
C,C,_,_,_,_,2,41
A,A,_,_,_,_,2,42
A,A,_,_,_,_,2,43
A,A,_,_,_,_,2,44
B,B,_,_,_,_,2,45
B,B,_,_,_,_,2,46
