episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
100, 4950, -17.96969696969697, -16.151515151515152, -17.2020202020202, -15.343434343434344
200, 9950, -17.95, -16.59, -16.54, -15.68
300, 14950, -17.55, -16.3, -17.04, -15.98
400, 19950, -17.62, -16.64, -17.29, -15.67
500, 24950, -18.23, -16.36, -16.32, -16.02
600, 29950, -17.9, -16.54, -16.35, -15.85
700, 34950, -18.13, -16.12, -17.52, -15.16
800, 39950, -17.41, -17.03, -17.1, -15.26
900, 44950, -17.7, -16.34, -16.91, -16.27
1000, 49950, -17.52, -16.71, -16.85, -15.63
1100, 54950, -16.46, -16.36, -23.43, -5.91
1200, 59950, -20.67, -22.78, -7.51, -7.42
1300, 64950, -27.74, -4.06, -37.56, -11.4
1400, 69950, -14.34, -4.34, -42.0, -2.6
1500, 74950, -3.92, -2.03, -37.79, -0.41
1600, 79950, -0.89, -0.67, -39.6, -0.17
1700, 84950, -1.83, -0.8, -35.51, -0.16
1800, 89950, -0.03, -0.25, -31.41, -2.24
1900, 94950, 0.0, -0.09, -35.16, -0.3
2000, 99950, -0.01, -0.1, -34.69, -0.07
2100, 104950, -0.01, -0.04, -36.77, -0.02
2200, 109950, -0.2, -0.04, -32.91, -0.1
2300, 114950, 0.0, -0.01, -38.69, -0.06
2400, 119950, -0.01, -0.03, -35.4, -0.05
2500, 124950, 0.0, 0.0, -43.04, -0.03
2600, 129950, -0.01, -0.01, -41.45, -0.02
2700, 134950, -0.02, -0.02, -42.96, -0.06
2800, 139950, 0.0, -0.03, -44.49, -0.04
2900, 144950, -0.19, -0.01, -43.22, -0.04
3000, 149950, -0.11, -0.03, -43.6, -0.09
3100, 154950, 0.0, -0.02, -45.62, -0.01
3200, 159950, -0.12, 0.0, -37.79, -0.12
3300, 164950, -0.01, -0.03, -43.59, -0.07
3400, 169950, -0.11, -0.01, -37.08, -0.08
3500, 174950, 0.0, -0.02, -40.34, -0.05
3600, 179950, -0.01, -0.02, -41.87, -0.03
3700, 184950, -0.01, 0.0, -41.38, -0.03
3800, 189950, -0.01, 0.0, -41.47, -0.07
3900, 194950, -0.01, -0.03, -45.29, -0.03
4000, 199950, 0.0, -0.04, -36.74, -0.02
4100, 204950, 0.0, -0.01, -39.98, -0.04
4200, 209950, -0.01, 0.0, -37.6, -0.07
4300, 214950, 0.0, 0.0, -40.46, -0.03
4400, 219950, -0.02, -0.01, -38.25, -0.1
4500, 224950, -0.02, -0.05, -37.52, -0.08
4600, 229950, -0.04, -0.02, -41.71, -0.03
4700, 234950, -0.01, -0.01, -42.42, -0.03
4800, 239950, -0.52, -0.03, -40.65, -0.08
4900, 244950, -0.01, -0.02, -42.3, -0.08
5000, 249950, -0.13, -0.02, -37.85, -0.08
5100, 254950, -0.03, -0.04, -38.38, -0.07
5200, 259950, -0.01, -0.02, -35.19, -0.09
5300, 264950, -0.01, -0.01, -39.02, -0.02
5400, 269950, 0.0, 0.0, -41.87, 0.0
5500, 274950, -0.12, -0.05, -41.81, -0.02
5600, 279950, -0.15, 0.0, -40.47, -0.05
5700, 284950, -0.08, -0.01, -40.33, -0.05
5800, 289950, -0.04, -0.02, -43.24, -0.02
5900, 294950, -0.49, -0.01, -43.39, -0.05
6000, 299950, -0.01, 0.0, -44.62, -0.17
6100, 304950, -0.17, 0.0, -42.18, -0.12
6200, 309950, -0.18, -0.02, -42.03, -0.12
6300, 314950, -0.03, -0.02, -41.86, -0.07
6400, 319950, -0.28, -0.01, -43.68, -0.14
6500, 324950, -0.05, -0.01, -44.33, -0.04
6600, 329950, -0.02, -0.01, -44.58, -0.04
6700, 334950, -0.5, -0.03, -43.28, -0.03
6800, 339950, -0.06, -0.01, -40.04, -0.02
6900, 344950, -14.27, -0.38, -42.81, -0.1
7000, 349950, -36.08, -1.77, -40.6, -0.07
7100, 354950, -19.25, -2.44, -41.52, -0.04
7200, 359950, -0.11, 0.0, -41.57, -0.03
7300, 364950, 0.0, -0.01, -43.38, -0.01
