energy,attention,episode,step
-1.0,0.0,1,0
-1.0,-1.0,1,1
-2.0,-1.0,1,2
-3.0,-1.0,1,3
-4.0,-1.0,1,4
-5.0,-1.0,1,5
-6.0,-1.0,1,6
-7.0,-1.0,1,7
-7.0,-2.0,1,8
-8.0,-2.0,1,9
-9.0,-2.0,1,10
-10.0,-2.0,1,11
-11.0,-2.0,1,12
-12.0,-2.0,1,13
-13.0,-2.0,1,14
-14.0,-2.0,1,15
-15.0,-2.0,1,16
-16.0,-2.0,1,17
-17.0,-2.0,1,18
-18.0,-2.0,1,19
-19.0,-2.0,1,20
-20.0,-2.0,1,21
-21.0,-2.0,1,22
-22.0,-2.0,1,23
-23.0,-2.0,1,24
-24.0,-2.0,1,25
-25.0,-2.0,1,26
-26.0,-2.0,1,27
-27.0,-2.0,1,28
-28.0,-2.0,1,29
-29.0,-2.0,1,30
-30.0,-2.0,1,31
-31.0,-2.0,1,32
-32.0,-2.0,1,33
-32.0,-2.0,1,34
-33.0,-2.0,1,35
-34.0,-2.0,1,36
-34.0,-3.0,1,37
-34.0,-4.0,1,38
-34.0,-5.0,1,39
-35.0,-5.0,1,40
-35.0,-6.0,1,41
-35.0,-7.0,1,42
-35.0,-8.0,1,43
-36.0,-8.0,1,44
-37.0,-8.0,1,45
-38.0,-8.0,1,46
-39.0,-8.0,1,47
-40.0,-8.0,1,48
-41.0,-8.0,1,49
-1.0,0.0,2,0
-1.0,-1.0,2,1
-2.0,-1.0,2,2
-3.0,-1.0,2,3
-4.0,-1.0,2,4
-5.0,-1.0,2,5
-6.0,-1.0,2,6
-7.0,-1.0,2,7
-8.0,-1.0,2,8
-9.0,-1.0,2,9
-10.0,-1.0,2,10
-10.0,-2.0,2,11
-11.0,-2.0,2,12
-12.0,-2.0,2,13
-12.0,-3.0,2,14
-13.0,-3.0,2,15
-13.0,-4.0,2,16
-13.0,-5.0,2,17
-13.0,-6.0,2,18
-13.0,-7.0,2,19
-14.0,-7.0,2,20
-14.0,-8.0,2,21
-14.0,-9.0,2,22
-14.0,-10.0,2,23
-14.0,-11.0,2,24
-14.0,-12.0,2,25
-14.0,-13.0,2,26
-14.0,-14.0,2,27
-15.0,-14.0,2,28
-16.0,-14.0,2,29
-17.0,-14.0,2,30
-18.0,-14.0,2,31
-18.0,-15.0,2,32
-18.0,-16.0,2,33
-19.0,-16.0,2,34
-20.0,-16.0,2,35
-21.0,-16.0,2,36
-22.0,-16.0,2,37
-23.0,-16.0,2,38
-24.0,-16.0,2,39
-25.0,-16.0,2,40
-25.0,-17.0,2,41
