episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
1000, 49950, -16.74074074074074, -16.5995995995996, -15.55955955955956, -16.45045045045045
2000, 99950, -11.849, -23.494, -11.291, -25.769
3000, 149950, -3.201, -44.914, -4.688, -43.091
4000, 199950, -8.573, -41.204, -9.537, -38.898
5000, 249950, -9.614, -40.11, -13.77, -34.968
6000, 299950, -11.344, -38.154, -16.125, -31.775
7000, 349950, -27.611, -21.385, -25.098, -23.877
8000, 399950, -38.673, -10.119, -29.633, -17.101
9000, 449950, -45.552, -3.779, -34.283, -11.762
10000, 499950, -47.416, -2.328, -32.489, -9.613
11000, 549950, -48.424, -1.415, -35.333, -7.294
12000, 599950, -47.597, -1.355, -38.462, -5.386
13000, 649950, -46.565, -0.962, -35.584, -8.611
14000, 699950, -45.655, -3.713, -34.011, -11.306
15000, 749950, -44.936, -4.397, -36.965, -8.763
16000, 799950, -45.528, -4.236, -36.303, -9.484
17000, 849950, -46.91, -2.784, -37.858, -8.914
18000, 899950, -44.812, -1.389, -42.13, -4.52
19000, 949950, -40.226, -3.691, -46.015, -2.582
20000, 999950, -45.038, -0.712, -46.853, -1.839
21000, 1049950, -44.087, -1.153, -45.775, -2.223
22000, 1099950, -41.368, -1.199, -47.007, -2.118
23000, 1149950, -34.358, -8.542, -44.202, -4.108
24000, 1199950, -39.498, -7.26, -41.359, -7.885
25000, 1249950, -38.561, -4.522, -42.084, -4.915
26000, 1299950, -37.583, -8.439, -41.781, -2.853
27000, 1349950, -30.655, -13.037, -43.416, -1.997
28000, 1399950, -28.867, -4.668, -45.482, -3.154
29000, 1449950, -32.539, -3.439, -45.535, -3.887
30000, 1499950, -34.162, -7.285, -45.259, -3.984
31000, 1549950, -33.232, -8.304, -45.736, -3.894
32000, 1599950, -30.216, -5.798, -45.47, -4.239
33000, 1649950, -23.098, -3.81, -38.562, -6.499
34000, 1699950, -29.165, -2.321, -33.753, -7.306
35000, 1749950, -21.777, -10.746, -33.573, -6.664
36000, 1799950, -28.292, -3.901, -32.515, -4.045
37000, 1849950, -29.031, -5.143, -28.273, -4.783
38000, 1899950, -26.542, -5.194, -22.97, -9.425
39000, 1949950, -30.925, -2.237, -24.088, -1.874
40000, 1999950, -23.547, -5.146, -22.212, -1.748
