act0,act1,act2,act3,act4,act5,act6,act7,episode,step
2.981819307024125e-06,0.9999825954437256,3.6030089631822193e-06,1.0883580216614064e-05,2.7172541550157803e-08,0.999790608882904,0.00018485879991203547,2.457957816659473e-05,1,0
0.00013205880532041192,0.00030073689413256943,3.504265987430699e-05,0.0007110717124305665,0.9988210797309875,0.9997246861457825,0.00015663151862099767,0.00011870596063090488,1,1
1.4077863874639718e-10,1.3658760754375887e-11,0.9999997615814209,1.942433272006383e-07,2.1401638239382237e-09,0.9999650716781616,2.2361633455147967e-05,1.2533695553429425e-05,1,2
0.008037627674639225,0.0007890317938290536,7.825461943866685e-05,0.01891624927520752,0.9721788167953491,0.7695226073265076,0.011205160990357399,0.21927224099636078,1,3
3.5494041039640933e-09,3.978641132107441e-07,0.9999996423721313,4.138033560252552e-08,2.511482044553759e-08,0.00567121896892786,0.0002177317946916446,0.9941110014915466,1,4
0.8851283192634583,9.686379780760035e-05,0.00034324941225349903,0.11379119008779526,0.0006403481820598245,0.9996259212493896,7.200116669991985e-05,0.00030207540839910507,1,5
1.635446089665038e-08,6.095253191062966e-10,0.9999992847442627,1.4365578238084709e-07,5.416494559540297e-07,0.8358388543128967,0.0004450033593457192,0.1637161523103714,1,6
0.0005920854164287448,5.391386730480008e-05,0.07722702622413635,0.9217100739479065,0.0004168909217696637,0.9998393058776855,1.0670098163245711e-05,0.00014997116522863507,1,7
0.010695408098399639,0.0009091204265132546,0.00038649869384244084,0.984531819820404,0.0034771552309393883,0.9870960712432861,0.000595063145738095,0.012308836914598942,1,8
0.0008799980278126895,0.0021767180878669024,0.00011012807226506993,9.488320210948586e-05,0.9967382550239563,0.9725624918937683,8.581801375839859e-05,0.02735169604420662,1,9
5.6964519906665956e-11,1.0,2.3204946297816775e-10,9.398388733927732e-10,4.887095172989575e-10,0.9914699196815491,0.0009914296679198742,0.007538627367466688,1,10
0.0004371877876110375,0.06378120929002762,0.38972026109695435,0.5456362366676331,0.00042511840001679957,0.9988577365875244,0.00015929507208056748,0.0009829531190916896,1,11
3.730510692023792e-12,1.0,1.9697151895647913e-11,7.821462227886045e-11,2.9276771978947735e-11,0.9995580315589905,2.9552624255302362e-05,0.00041239141137339175,1,12
2.03707350010518e-06,2.0099739685974782e-06,4.827024895348586e-07,6.423258309951052e-05,0.9999312162399292,0.9931232333183289,8.210086525650695e-05,0.0067946817725896835,1,13
2.51277961069718e-05,5.961787337582791e-06,0.989443302154541,0.003075978020206094,0.007449616678059101,0.9966243505477905,0.0006283529219217598,0.0027472693473100662,1,14
