episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -18.18018018018018, -16.573573573573572, -18.0990990990991, -14.856856856856856, -15.14014014014014, -17.594594594594593, -17.273273273273272, -15.26926926926927
2000, 99950, -12.565, -7.861, -14.107, -17.44, -18.789, -14.0, -5.903, -5.066
3000, 149950, -3.541, -8.24, -11.655, -30.547, -15.192, -27.299, -9.972, -23.764
4000, 199950, -11.31, -14.337, -11.634, -33.351, -18.798, -22.253, -23.235, -13.948
5000, 249950, -23.404, -9.745, -13.502, -33.54, -22.321, -19.76, -30.423, -15.834
6000, 299950, -40.259, -6.934, -15.99, -33.165, -18.678, -25.608, -38.965, -8.465
7000, 349950, -42.778, -5.657, -17.495, -31.534, -15.109, -30.165, -44.221, -3.664
8000, 399950, -43.309, -5.014, -24.731, -23.922, -12.213, -36.57, -40.357, -5.485
9000, 449950, -44.178, -1.974, -26.268, -22.093, -7.466, -40.975, -43.259, -3.467
10000, 499950, -44.461, -2.673, -28.393, -19.945, -6.84, -42.326, -47.047, -0.639
11000, 549950, -35.037, -10.988, -27.27, -21.194, -7.413, -41.474, -45.285, -2.259
12000, 599950, -34.998, -4.544, -28.071, -20.128, -7.148, -41.462, -47.359, -0.926
13000, 649950, -34.88, -3.655, -30.261, -18.615, -9.362, -40.153, -48.24, -0.766
14000, 699950, -30.75, -5.591, -31.107, -17.843, -7.583, -42.114, -48.571, -0.358
15000, 749950, -35.567, -2.504, -33.779, -15.044, -6.688, -42.927, -47.968, -0.438
16000, 799950, -37.689, -3.225, -32.858, -15.464, -5.505, -44.221, -48.195, -0.366
17000, 849950, -32.403, -3.554, -32.352, -16.65, -9.046, -40.757, -48.76, -0.324
18000, 899950, -37.048, -2.886, -33.602, -15.328, -12.154, -37.754, -48.893, -0.267
19000, 949950, -39.035, -1.728, -34.506, -14.495, -13.15, -36.739, -49.141, -0.094
20000, 999950, -28.865, -0.155, -32.847, -16.274, -10.955, -38.964, -48.145, -0.069
21000, 1049950, -26.861, -5.166, -35.364, -13.965, -11.528, -38.322, -49.306, -0.308
22000, 1099950, -27.15, -11.246, -36.135, -13.075, -13.141, -36.752, -49.642, -0.31
23000, 1149950, -24.503, -2.9, -40.714, -8.695, -21.261, -28.578, -48.183, -1.757
24000, 1199950, -27.745, -6.001, -39.229, -9.827, -29.116, -20.556, -46.02, -2.444
25000, 1249950, -32.779, -3.184, -36.067, -11.855, -21.847, -27.851, -44.639, -1.41
26000, 1299950, -31.026, -1.598, -38.646, -10.525, -25.934, -23.042, -42.657, -0.077
27000, 1349950, -38.101, -1.1, -43.542, -5.23, -22.823, -26.82, -40.555, -0.037
28000, 1399950, -31.263, -4.464, -39.03, -4.368, -19.776, -30.136, -42.766, -0.274
29000, 1449950, -35.639, -1.353, -40.474, -5.184, -25.537, -24.369, -47.287, -0.529
30000, 1499950, -39.25, -0.221, -37.717, -8.489, -23.569, -24.752, -41.591, -6.072
31000, 1549950, -28.683, -2.618, -32.525, -12.373, -23.046, -26.581, -47.36, -1.859
32000, 1599950, -26.769, -0.2, -26.313, -17.437, -24.602, -24.279, -44.381, -4.543
33000, 1649950, -19.578, -0.071, -23.149, -14.943, -33.464, -16.489, -45.989, -2.419
34000, 1699950, -22.497, -1.185, -16.581, -18.778, -33.708, -16.265, -45.474, -2.741
35000, 1749950, -20.145, -1.037, -16.95, -19.154, -29.299, -20.536, -48.331, -0.458
36000, 1799950, -18.935, -0.692, -22.812, -14.108, -29.564, -19.61, -45.671, -2.837
37000, 1849950, -18.506, -0.252, -23.728, -12.806, -25.374, -22.906, -45.86, -2.735
38000, 1899950, -18.671, -0.611, -20.768, -20.427, -20.873, -23.119, -45.695, -2.197
39000, 1949950, -18.188, -0.728, -19.276, -21.627, -22.856, -16.823, -44.617, -3.496
40000, 1999950, -18.539, -0.585, -17.515, -19.909, -22.597, -17.251, -44.226, -3.38
