step, agent0_rew, agent1_rew, agent2_rew, agent3_rew, agent4_rew, agent5_rew
1000, 0.27148983071747884, 0.6319339137247286, 0.8435848129007737, 0.3152446136437418, -55.25810899398928, -124.340102395737
2000, 1.3568179191579435, -2.107959920253582, -0.2169657727884527, 0.3257176569870868, -43.6364199065103, -26.563524649498408
3000, 6.7317872405494095, 6.3236322766825435, 5.451708451562042, 7.587310459491277, -2.3153151774064047, -4.1717971628007255
4000, 12.856395661187042, 12.847843661194434, 12.71644771338254, 13.616714825458013, -7.106414094422938, -5.363725457298951
5000, 18.214955768220705, 17.867185806556805, 18.117551340426758, 18.347104545748014, -8.945964315590055, -7.642486050072573
6000, 16.340318113606223, 16.35266038722776, 16.36993861096916, 16.857648869672108, -7.425010958092116, -8.628494821721784
7000, 13.447280188091732, 13.254127085790985, 13.897850441954468, 13.627598588335921, -7.368609563458888, -6.23666319450134
8000, 14.838187176288786, 14.442493376667276, 15.075701737820795, 14.741556314955814, -8.59579343334488, -6.251356534731259
9000, 20.187387811542504, 19.97220951540902, 20.536920302199288, 20.097118373525337, -11.590641791272585, -9.267869336931561
10000, 21.175173597847653, 21.251836498315484, 21.618140186330404, 21.551932399478034, -12.515238830512107, -9.585277589334936
11000, 19.900169355315303, 19.85511435998185, 19.986838070640204, 19.657115484320453, -12.49169332813342, -9.150645301773467
12000, 20.942499704024325, 20.644763479104753, 21.043817958914826, 20.52525511356429, -13.587603606805299, -9.965307361317693
13000, 21.33444810900925, 20.712900419878068, 21.54214752381965, 21.133084113743156, -14.235616983503933, -8.512099917618949
14000, 20.93504159292927, 19.944605295958624, 21.414519222498896, 21.08764780920263, -14.292233033696368, -7.4618953747389405
15000, 23.160329731435922, 22.393242576207573, 23.52943522934034, 23.185132610408328, -15.776947645068544, -8.061241451206635
16000, 21.255026265591535, 20.63004795702894, 21.47046322130357, 21.029936320511666, -14.077869454201297, -7.4183836919148325
17000, 21.997748078270696, 21.40327506741413, 22.567654767667083, 21.964693207088725, -17.344553768725497, -5.28166807967908
18000, 19.50789767996566, 19.469646200076046, 20.46902225359498, 19.82843092284794, -18.592576374923624, -6.586204406753618
19000, 24.843951006924517, 25.512018987116818, 26.3965182918812, 25.798028592274605, -24.079774174091007, -4.861191406095477
20000, 22.198746194581005, 24.074263000475288, 24.384318540008138, 23.95851201530019, -21.672224749773317, -3.1059781271497013
21000, 19.66896245206321, 20.867193013439902, 21.254649427351225, 21.011096439011574, -20.41204663120384, -3.3852933071988893
22000, 16.53785793829342, 16.790550584211402, 17.288569201305705, 16.968535765176675, -17.117771607487004, -3.8615728150106934
23000, 17.047993339508686, 17.10552438722625, 17.28199667990845, 16.98011549650738, -17.199774529835494, -7.719233056962762
24000, 15.242556841688502, 15.192826917056514, 15.390201934571696, 14.928329893161525, -14.822050744391767, -5.912656598761967
25000, 14.496483225348982, 14.542703999891033, 14.635226749254073, 14.21394529237059, -13.806494832168784, -3.535190874976464
26000, 14.35732384979287, 14.543803711639248, 14.804060474944297, 14.445565080466906, -12.006509744642216, -3.650689999633213
27000, 16.888065288035953, 16.864722611881028, 17.051188504347525, 16.87054550532773, -12.335020443351626, -5.753077468148798
28000, 17.30973691501034, 17.09813706899449, 17.51121938164403, 17.37202472593712, -12.524769126901393, -4.738980426907395
