episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg,agent2_energy_min,agent2_energy_max,agent2_energy_avg,agent3_energy_min,agent3_energy_max,agent3_energy_avg
200, 9950, -22.748743718592966, -0.48743718592964824, -11.848844221105526, -23.502512562814072, -0.5025125628140703, -12.173869346733671, -28.55276381909548, -0.592964824120603, -14.490753768844225, -25.814070351758794, -0.5628140703517588, -13.216281407035176
400, 19950, -22.875, -0.51, -11.7327, -23.16, -0.465, -11.960299999999997, -29.555, -0.54, -15.07619999999999, -25.765, -0.51, -13.218100000000002
600, 29950, -22.33, -0.41, -11.535400000000008, -23.84, -0.495, -12.275099999999993, -28.895, -0.475, -14.575, -26.44, -0.52, -13.3838
800, 39950, -23.12, -0.495, -12.056000000000001, -24.065, -0.465, -12.264800000000003, -29.125, -0.565, -14.78329999999999, -26.0, -0.555, -13.283199999999997
1000, 49950, -22.875, -0.485, -11.772099999999998, -24.485, -0.5, -12.5873, -28.855, -0.565, -14.582300000000005, -26.28, -0.46, -13.303200000000011
1200, 59950, -16.28, -0.385, -8.715300000000003, -31.775, -0.69, -16.7199, -12.34, -0.29, -6.718800000000001, -21.125, -0.36, -10.820599999999997
1400, 69950, -17.565, -0.405, -8.679, -14.425, -0.375, -7.934900000000002, -13.84, -0.3, -7.371900000000004, -35.37, -0.68, -17.5048
1600, 79950, -23.15, -0.54, -11.696700000000005, -32.54, -0.705, -16.715700000000005, -19.74, -0.315, -9.819400000000003, -19.135, -0.325, -8.843499999999999
1800, 89950, -15.795, -0.435, -8.079600000000001, -34.415, -0.6, -17.069299999999995, -5.075, -0.235, -3.1929999999999996, -25.875, -0.65, -13.264999999999995
2000, 99950, -10.01, -0.375, -5.200299999999999, -18.96, -0.58, -10.425399999999998, -8.71, -0.12, -4.373800000000001, -42.62, -0.67, -21.13330000000001
2200, 109950, -4.25, -0.215, -2.322600000000001, -13.94, -0.495, -7.870299999999997, -3.8, -0.105, -1.9011000000000005, -39.26, -0.575, -19.796799999999994
2400, 119950, -8.685, -0.315, -5.037800000000002, -20.295, -0.565, -10.820600000000004, -5.16, -0.085, -2.1906000000000003, -36.59, -0.5, -18.340499999999995
2600, 129950, -4.545, -0.205, -2.831199999999999, -18.32, -0.585, -10.351900000000002, -4.42, -0.13, -2.0776999999999988, -34.3, -0.445, -16.826799999999995
2800, 139950, -5.485, -0.3, -3.361199999999999, -20.875, -0.54, -10.545900000000008, -19.29, -0.155, -8.4911, -26.94, -0.4, -13.487400000000003
3000, 149950, -5.73, -0.285, -3.5821999999999985, -15.46, -0.44, -7.9928, -14.955, -0.11, -6.720799999999996, -20.275, -0.44, -9.932300000000003
3200, 159950, -8.525, -0.365, -4.984000000000001, -21.435, -0.535, -11.288500000000004, -9.63, -0.14, -4.372700000000002, -16.135, -0.405, -8.138299999999996
3400, 169950, -9.47, -0.24, -4.9966, -24.555, -0.585, -13.113399999999997, -6.8, -0.105, -3.4125, -20.33, -0.41, -10.003300000000001
3600, 179950, -15.12, -0.4, -8.205500000000002, -21.47, -0.555, -11.254499999999997, -12.89, -0.16, -6.5347, -23.125, -0.44, -11.543500000000005
3800, 189950, -24.595, -0.405, -12.564299999999992, -24.185, -0.565, -12.490600000000002, -12.795, -0.27, -6.8126999999999995, -21.895, -0.47, -11.350800000000001
4000, 199950, -30.95, -0.465, -15.277799999999992, -12.8, -0.395, -6.551500000000001, -11.06, -0.14, -5.173899999999999, -20.09, -0.505, -10.204800000000008
4200, 209950, -28.94, -0.405, -14.082199999999998, -19.44, -0.48, -10.429300000000005, -11.54, -0.17, -5.3424000000000005, -23.7, -0.545, -12.010800000000001
4400, 219950, -45.14, -0.59, -22.397799999999993, -17.61, -0.375, -8.513399999999999, -20.255, -0.125, -8.582200000000002, -14.91, -0.385, -7.828099999999998
4600, 229950, -41.865, -0.435, -20.349399999999992, -26.2, -0.56, -13.422499999999998, -20.985, -0.215, -9.689800000000005, -20.23, -0.44, -10.502899999999995
4800, 239950, -39.785, -0.43, -19.703999999999986, -25.37, -0.565, -13.289700000000005, -20.1, -0.165, -9.189400000000004, -12.745, -0.27, -6.204
